Heading																				
FIELD_DELIM	TABS																			
VIDEO_FORMAT	1080																			
FPS	23.976																			
AUDIO_FORMAT	48kHz																			
FILM_FORMAT	"35mm,4perf"																			
																				
Column																				
Name	Tape	Tracks	Start	End	Duration	ASC_SOP	ASC_SAT	Scene	Take	Shoot Date	Camera	Camroll	COMMENTS	Soundroll	UNC	UNC First Frame	UNC Last Frame	Description	Day	VT Number
																				
Data																				
G005-1NGG	G005C001_140628H0	VA1	18:35:09:09	18:35:19:09	00:00:10:00			G005	1NG	6/28/14	G	G005	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_F/G5/Clip/G005C001_140628H0/G005C001_140628H0.mxf	0	240	FALSE START	48	VT069
LAREV1-1G	G005C002_140628GQ	VA1	19:05:29:15	19:33:08:14	00:27:38:23	(0.98958 0.98958 0.98958)(0.01042 0.01042 0.01042)(1.0 1.0 1.0)		LAREV1	1	6/28/14	G	G005		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_F/G5/Clip/G005C002_140628GQ/G005C002_140628GQ.mxf	0	39815	EWS LE REVE: FROM BEGINNING	48	VT069
LAREV1-2G	G006C001_140628OY	VA1	19:33:49:09	20:02:00:19	00:28:11:10	(0.98958 0.98958 0.98958)(0.01042 0.01042 0.01042)(1.0 1.0 1.0)		LAREV1	2	6/28/14	G	G006		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_G/G6/Clip/G006C001_140628OY/G006C001_140628OY.mxf	0	40594	EWS LE REVE	48	VT069
LAREV1-3G	G007C001_140628IP	VA1	20:02:39:20	20:29:45:11	00:27:05:15	(0.98958 0.98958 0.98958)(0.01042 0.01042 0.01042)(1.0 1.0 1.0)		LAREV1	3	6/28/14	G	G007		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_G/G7/Clip/G007C001_140628IP/G007C001_140628IP.mxf	0	39015	EWS LE REVE: TO THE END	48	VT069
G008-1NGG	G008C001_140628VQ	VA1	21:16:38:14	21:16:43:15	00:00:05:01			G008	1NG	6/28/14	G	G008	MIS-FIRE	MOS	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_B/D48A_062814/G8/Clip/G008C001_140628VQ/G008C001_140628VQ.mxf	0	121	FALSE START	48	VT069
LAREV2-1G	G008C002_140628WA	VA1	21:35:11:10	22:03:45:01	00:28:33:15	(0.98958 0.98958 0.98958)(0.01042 0.01042 0.01042)(1.0 1.0 1.0)		LAREV2	1	6/28/14	G	G008		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_B/D48A_062814/G8/Clip/G008C002_140628WA/G008C002_140628WA.mxf	0	41127	"MWS TO MS LE REVE: FROM BEGINNING, AND AUDIENCE"	48	VT069
LAREV2-2G	G009C001_140629NJ	VA1	22:04:26:18	22:33:05:04	00:28:38:10	(0.98958 0.98958 0.98958)(0.01042 0.01042 0.01042)(1.0 1.0 1.0)		LAREV2	2	6/28/14	G	G009		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_B/D48A_062814/G9/Clip/G009C001_140629NJ/G009C001_140629NJ.mxf	0	41242	MWS TO MS LE REVE: DANCERS AND AUDIENCE	48	VT069
LAREV2-3G	G010C001_140629GF	VA1	22:33:58:13	22:53:46:14	00:19:48:01	(0.98958 0.98958 0.98958)(0.01042 0.01042 0.01042)(1.0 1.0 1.0)		LAREV2	3	6/28/14	G	G010		48	/vol/blt5-images/mall_cop_2/mc2_footage/MC2_20140628_F/G10/Clip/G010C001_140629GF/G010C001_140629GF.mxf	0	28513	"MWS TO MS LE REVE: TILL THE END, AND AUDIENCE "	48	VT069
